원어
龜鑑
龜裂
龜裂
龍鬚鐵
龍飛御天歌
龍頭蛇尾
龍王
龍宮
龍
齷齪
齒藥
齒科
齒石
齒痛
齒牙
齒列
齒
齊唱
齊唱
鼻炎
鼓舞的
鼓舞
鼓舞
鼓膜
鼓笛隊
鼓吹
鼓動
鼈主簿傳
黨論
黨略
黨派性
黨派
黨權
黨員
黨利黨略
黨內
黨
點線
點綴
點燈
點火
點檢
點數
點數
點心時間
點心
點心
點字
點呼
點劃
點
點
點
點
點
黜黨
默默不答
默過
默讀
默認
默言
默禱
默祕權
默示的
默示
默示
默珠
默殺
默想
默想
默念
默契
黑雪糖▽
黑色宣傳
黑色
黑白
黑白
黑白
黑白
黑白
黑板
黑心
黑幕
黑幕
黑字
黑人種
黑人
黑
黑
黎明
黎明
黃金萬能主義
黃金色
黃金比
黃金期
黃金時代
黃金時代
黃金
黃金
黃金
黃酸
黃色
黃疸
黃海道
黃海
黃沙/黃砂
黃沙/黃砂
黃桃
黃昏期
黃昏
黃昏
黃土色
黃土
黃人種
黃
麾下
麻雀
麻袋
麵/麪
麥飯石
麥酒甁
麥酒甁
麥酒
麒麟
麒麟
鹿茸
鹽藏
鹽素
鹽田
鹽基性
鹽分
鷄卵形
鷄卵
鶴首苦待
鶴
鴨綠江
鴛鴦衾枕
鴛鴦衾枕
鴛鴦
鴛鴦
鳶
鳳凰
鳳
鳳
鳥瞰圖
鰱魚
鰐魚
鰍魚湯
鮮血
鮮紅色
鮮度
鮑石亭
魚類
魚雷
魚貝類
魚肉
魚肉
魚肉
魚缸
魚種
魚族
魚市場
魔鬼
魔鬼
魔術師
魔術
魔術
魔王
魔法師
魔法
魔手
魔女
魔力
魔
魔
魔
魔
魅惑的
魅惑
魅力的
魅力
魂魄
魂飛魄散
魂靈
魂
魁首
鬼神
鬼神
鬼神
鬼神
鬼神
鬼才
鬼才
鬼哭聲
鬱陵島
鬱火病
鬱火
鬱憤
鬪鷄
鬪鷄
鬪魂
鬪病
鬪牛士
鬪牛
鬪牛
鬪爭
鬪爭
鬪志力
鬪志
鬪士
鬪士
鬚髥
鬚髥
鬚髥
高齡者
高齡化
高齡
高麗靑瓷
高麗葬
高麗葬
高麗瓷器
高麗
高額券
高額
高音質
高音
高難度
高金利
高速鐵
高速艇
高速
高踏的
高賃金
高貴
高調
高調
高試
高解像度
高見
高見
高血壓
高蛋白質
高蛋白
高聲放歌
高聲
高緯度
高級班
高級品
高級化
高級化
高級
高級
高粱酒
高等學生
高等學校
高等
高空
高祖父母
高祖父
高祖母
高祖
高畫質
高物價
高熱
高熱
高溫
高水敷地
高氣壓
高段數
高次元的
高次元
高校生
高校
高效率
高收益
高揚
高捧
高技能
高手
高所得層
高所得
高感度
高性能
高強度
高度化
高度
高度
高嶺土
高山病
高山
高層
高層
高密度
高官大爵
高官
高學歷
高學年
高姿勢
高壓線
高壓的
高壓
高壓
高地帶
高地
高地
高地
高喊
高品質
高品位
高周波
高句麗
高原
高利貸金業者
高利貸金業
高利
高冷地
高價品
高價
高僧
高低
高位職
高位級
高位層
高位
高下
高下
高下
高下
體驗談
體驗
體面
體重計
體重
體軀
體質
體質
體貌
體貌
體貌
體言
體裁
體臭
體臭
體育館
體育界
體育服
體育
體育
體罰
體統
體細胞
體級
體系的
體系性
體系化
體系
體熱
體溫計
體溫器
體溫
體液
體毛
體格
體操
體感
體得
體外
體型
體力章
體力
體制
體制
體內
體位
體
體
骸骨
骸骨
骸骨
骨髓
骨髓
骨髓
骨髓
骨董品
骨董品
骨董
骨組
骨組
骨盤
骨格/骨骼
骨格/骨骼
骨材
骨折傷
骨折
骨子
骨多孔症
驛馬煞
驛勢圈
驛務室
驛前
驛
驚蟄
驚異的
驚異感
驚異
驚氣
驚歎/驚嘆
驚愕
驚惶
驕慢
驅除
驅迫
驅蟲劑
驅蟲劑
驅步
驅使力
驅使
騷音
騷擾
騷動
騷亂
騰落
騎馬隊
騎馬
騎馬
騎手
騎士道
騎士道
騎士
騎兵隊
騎兵
駿馬
駱駝/駱駞
駝鳥
駙馬
駐韓
駐車料
駐車場
駐車券
駐車
駐美
駐日
駐屯軍
駐屯
駐在國
駐在員
駐在
駐在
馴鹿
馬車
馬賊
馬耳東風
馬糞紙
馬牌
馬廏間
馬夫
香辛料
香臭
香爐
香水
香氣
香料
香
香
首魁
首領
首露王
首長
首都圈
首都
首腦部
首腦
首肯
首看護師
首相
首相
首相
首班
首班
首弟子
首席代表
首席
首席
首勳
首位
饗應
饗宴
饌盒
饌欌
饌器
饌
饅頭皮
饅頭
餞送
餘韻
餘韻
餘震
餘談
餘裕分
餘裕
餘裕
餘興
餘興
餘罪
餘白
餘生
餘波
餘波
餘暇
餘恨
餘念
餘勢
餘力
餘分
餘他
餓鬼
餓鬼
餓鬼
餓死
養鷄場
養護室
養護
養蠶
養蜂
養育費
養育權
養育
養老院
養父母
養父
養母
養殖
養成所
養成
養成
養成
養子
養女
養分
飽食
飽滿感
飽和
飼育場
飼育
飼料
飯饌
飯酒
飯床器
飯器
飮食量
飮食物
飮食店
飮食床
飮食
飮食
飮酒
飮福
飮用水
飮用
飮料水
飮料水
飮料
飢饉/饑饉
飢饉/饑饉
飢餓/饑餓
飢渴
食鹽水
食鹽水
食鹽
食飮料
食飮
食醯
食醋
食道樂家
食道樂
食道
食費
食費
食貪
食蟲
食蟲
食習慣
食糧難
食糧
食用油
食用
食生活
食率
食水
食母
食板
食料品
食慾
食性
食後
食堂街
食堂
食堂
食困症
食器洗滌機
食器
食單
食品店
食品
食口
食口
食卓褓
食卓
食前
食前
食代
食人種
食事量
食事
食中毒
飜譯語
飜譯者
飜譯物
飜譯版
飜譯機
飜譯本
飜譯料
飜譯文
飜譯家
飜譯劇
飜譯/翻譯
飜覆/翻覆
飜案劇
飜案
飛躍的
飛躍的
飛行船
飛行機
飛行場
飛行
颱風
風飛雹散
風霜
風霜
風雲兒
風雲
風雲
風雲
風采
風速計
風速
風車
風貌
風船
風船
風聞
風習
風紀
風疹
風琴
風物
風物
風物
風潮
風潮
風浪
風浪
風浪
風流客
風流
風波
風波
風波
風水地理
風水
風水
風樂
風月
風月
風月
風景畫
風景
風景
風害
風土病
風土
風土
風味
風味
風向計
風向
風化
風力
風力
風前燈火
風光
風光
風俗畫
風俗圖
